id,value
사업 관리.협력.해외 영업(베트남) 담당자,1
사업 관리.협력.아시아환경센터 국제개발협력 분야 담당자,1
사업 관리.협력.사무국 개발협력팀 간사,1
사업 관리.협력.브러쉬몬스터 해외 영업 관리 담당자,1
사업 관리.협력.베트남 파견활동가,1
사업 관리.협력.말라위 해외파견 직원,1
사업 관리.협력.대외협력팀 홍보담당자,1
사업 관리.협력.대외협력국 팀장,1
사업 관리.협력.대외협력국 매니저,1
사업 관리.협력.대외협력2팀 팀장,1
사업 관리.협력.대외협력 보조,1
사업 관리.협력.대외협력 및 개인고액 담당자,1
사업 관리.협력.대외협력 담당자,1
사업 관리.협력.대외협력 담당,1
사업 관리.협력.대북협력 담당자,1
사업 관리.협력.국제협력팀 한시계약직,1
사업 관리.협력.국제협력팀 직원,1
사업 관리.협력.국제협력사업 담당자,1
"사업 관리.협력.국제개발협력분야 팀장, 팀원",1
사업 관리.협력.국외 대외협력 사업 담당자,1
사업 관리.조직 특화.주거사업팀 팀장,2
사업 관리.조직 특화.주거사업팀 매니저,2
사업 관리.조직 특화.Team/Culture Manager,1
사업 관리.조직 특화.People&Culture 매니저,1
사업 관리.조직 특화.축산HQ팀 담당자,1
사업 관리.조직 특화.축산팀 담당자,1
사업 관리.조직 특화.천연·충현 도시재생지원센터 코디네이터,1
사업 관리.조직 특화.주택건축 담당자,1
사업 관리.조직 특화.주민기술학교사업 담당자,1
사업 관리.조직 특화.장애청년드림팀 사업담당자,1
사업 관리.조직 특화.온라인사업팀 담당자,1
사업 관리.조직 특화.어린이결연 담당자,1
사업 관리.조직 특화.앙코르U팀 직원,1
사업 관리.조직 특화.스타트업팀 담당자,1
사업 관리.조직 특화.스타트업 센터 담당자,1
사업 관리.조직 특화.속마음프로젝트 팀원,1
사업 관리.조직 특화.속마음버스 코디네이터,1
사업 관리.조직 특화.로컬브랜드팀 매니저,1
사업 관리.조직 특화.도시재생 담당자,1
사업 관리.조직 특화.놀이환경 진단 PM,1
사업 관리.조직 특화.나눔장터팀 팀원,1
"사업 관리.조직 특화.그린보트, 에코캠퍼스 담당자",1
사업 관리.조직 특화.공공예술팀 매니저,1
"사업 관리.조직 특화.공간콘텐츠실 팀장, 매니저",1
사업 관리.조직 특화.공간콘텐츠실 매니저,1
사업 관리.조직 특화.고양지역 생산간사,1
사업 관리.사업 관리.매니저,4
사업 관리.사업 관리.지역 매니저,2
사업 관리.사업 관리.전주지역 매니저,2
사업 관리.사업 관리.코디네이터,1
사업 관리.사업 관리.컨설팅 사업,1
사업 관리.사업 관리.충무로점 매니저 및 직원,1
사업 관리.사업 관리.음악팀 매니저,1
사업 관리.사업 관리.우리가게 전담 예술가 매니저,1
사업 관리.사업 관리.수도권지역 매니저,1
"사업 관리.사업 관리.수도권(서울,경기,인천) 매니저",1
사업 관리.사업 관리.세종지역 매니저,1
사업 관리.사업 관리.사업팀장,1
사업 관리.사업 관리.사업팀 담당자,1
사업 관리.사업 관리.사업담당자,1
사업 관리.사업 관리.사업 담당자,1
사업 관리.사업 관리.부동산임대관리 본부장급 관리자,1
사업 관리.사업 관리.보조인력,1
사업 관리.사업 관리.배분사업팀 담당자,1
사업 관리.사업 관리.문화사업팀 직원,1
사업 관리.사업 관리.만아츠 만액츠 부매니저,1
사업 관리.사업 관리.마산지역 매니저,1
사업 관리.사업 관리.기업 사업관리 담당자,1
사업 관리.사업 관리.2019 드림위드 사업 담당자,1
사업 관리.운영.운영 매니저,2
사업 관리.운영.상품 확보 서비스 운영 매니저,2
사업 관리.운영.플랫폼운영 담당,1
사업 관리.운영.커머스 운영 매니저,1
사업 관리.운영.웹 서비스 운영자,1
사업 관리.운영.운영팀 직원,1
사업 관리.운영.운영지원팀 직원,1
사업 관리.운영.운영지원 분야,1
사업 관리.운영.운영부 및 기획부 팀원,1
사업 관리.운영.운영기획팀 팀장,1
"사업 관리.운영.운영관리팀, 교육협력팀 담당자",1
사업 관리.운영.운영관리팀 직원,1
사업 관리.운영.엑셀러레이팅 프로그램 운영 매니저,1
사업 관리.운영.서비스/사업 운영 담당,1
사업 관리.운영.서비스 운영 인턴,1
사업 관리.운영.서비스 운영 담당자,1
사업 관리.운영.멘토링 프로그램 운영 지원 담당,1
사업 관리.운영.기업자원봉사 프로그램 운영 담당자,1
사업 관리.운영.공간운영 담당자,1
사업 관리.운영.공간 및 스토어 운영/관리 매니저,1
사업 관리.PM.프로젝트 매니저,6
사업 관리.PM.PM,2
사업 관리.PM.Solar Cow 프로젝트 매니저,1
사업 관리.PM.NPO상담소 PM,1
사업 관리.PM.JP모간 Project Assistant Manager,1
사업 관리.PM.IT 프로젝트 매니저,1
사업 관리.PM.홍보사업 기획 운영 PM,1
사업 관리.PM.프로젝트 기획 및 실행 담당자,1
사업 관리.PM.프로그램 매니저,1
사업 관리.PM.웹 PM,1
사업 관리.PM.영등포 청년 프로젝트 매니저,1
사업 관리.PM.소셜벤처 성장 지원 프로젝트 매니저,1
사업 관리.PM.대학연계 비영리스타트업 육성 지원사업 PM,1
사업 관리.PM.기획/PM,1
사업 관리.PM.공원의친구들 프로젝트매니저,1
사업 관리.경영.센터장,5
사업 관리.경영.점장,3
사업 관리.경영.프로젝트 리더,1
사업 관리.경영.총괄 팀장,1
사업 관리.경영.쉼터사업 팀장,1
사업 관리.경영.서울시NPO지원센터장,1
사업 관리.경영.서울/분당 점장,1
사업 관리.경영.상임이사,1
"사업 관리.경영.상영배급분과 팀장, 경영기획분과 총무",1
사업 관리.경영.변화지원실장,1
사업 관리.경영.대표,1
사업 관리.인사.HRD기업교육 컨설턴트,1
사업 관리.인사.HR&Admin Officer,1
사업 관리.인사.HR 프로젝트 매니저,1
사업 관리.인사.헤드헌터 서치컨설턴트,1
사업 관리.인사.인재개발부 인사팀 팀원,1
사업 관리.인사.인사팀 팀장,1
사업 관리.인사.인사팀 팀원,1
사업 관리.인사.인사총무 담당자,1
사업 관리.인사.인사 담당자,1
사업 관리.인사.인사,1
사업 관리.인사.브러쉬몬스터 인사 총무 담당자,1
사업 관리.인사.리쿠르팅 코디네이터,1
사업 관리.인사.리쿠르터,1
사업 관리.인사.강사관리자,1
사업 관리.사회적 경제.지역사회 사업 담당,1
사업 관리.사회적 경제.지역 사업,1
사업 관리.사회적 경제.지속가능성/소셜임팩트 매니저,1
사업 관리.사회적 경제.주민자치사업단 직원,1
사업 관리.사회적 경제.자치분야 담당자,1
사업 관리.사회적 경제.소셜임팩트 매니저,1
사업 관리.사회적 경제.소셜 임팩트 매니저,1
사업 관리.사회적 경제.사회혁신 컨설턴트,1
사업 관리.사회적 경제.사회적자산운용실 팀장,1
사업 관리.사회적 경제.사회적기업가 육성사업 분야,1
사업 관리.사회적 경제.사회적기업 분야,1
사업 관리.사회적 경제.사회적경제마을자치센터 직원,1
사업 관리.사회적 경제.사회적경제 지원팀 담당자,1
사업 관리.사업 개발.사업개발 담당자,3
사업 관리.사업 개발.캐리(신규사업) 모바일,1
사업 관리.사업 개발.브러쉬몬스터 덴탈케어 사업개발 담당자,1
사업 관리.사업 개발.부동산사업개발실 팀장,1
사업 관리.사업 개발.부동산사업개발실 매니저,1
사업 관리.사업 개발.마을기업 발굴 및 육성 지원 담당,1
사업 관리.사업 개발.도심제조업·스마트앵커 협동조합 지원 및 업종별 비즈니스 전략지원 실무자,1
사업 관리.사업 개발.기술혁신랩 사업담당자,1
사업 관리.사업 개발.글로벌사업개발팀 담당자,1
사업 관리.커뮤니케이션.커뮤니케이션팀 담당자,2
사업 관리.커뮤니케이션.Digital Communications Officer,1
"사업 관리.커뮤니케이션.커뮤니케이션팀, 그린페스티벌 담당자",1
사업 관리.커뮤니케이션.커뮤니케이션팀 팀장,1
사업 관리.커뮤니케이션.커뮤니케이션팀 직원,1
사업 관리.커뮤니케이션.고객 커뮤니케이션 담당자,1
사업 관리.재무.정산 담당자,1
사업 관리.재무.재무회계 담당자,1
사업 관리.재무.재무/회계 담당자,1
사업 관리.재무.재무 회계 담당자,1
사업 관리.재무.재무 담당자,1
사업 관리.재무.자금관리팀 팀원,1
사업 관리.브랜드.브랜드 매니저,3
사업 관리.브랜드.브랜드 전략 팀장,1
사업 관리.브랜드.브랜드 전략 매니저,1
사업 관리.일자리 사업.창업육성팀 담당자,1
사업 관리.일자리 사업.일자리증진팀 팀원,1
사업 관리.일자리 사업.일자리사업 분야,1
사업 관리.일자리 사업.일자리 지원 사업,1
사업 관리.회원 관리.회원사업 담당자,2
사업 관리.정책.정책 담당자,1
사업 관리.정책.정책 담당,1
사업 관리.시설 관리.시설사업팀 담당자,1
사업 관리.시설 관리.시설관리 담당자,1
사업 관리.서비스 관리.웹서비스팀 팀장,1
사업 관리.서비스 관리.웹사이트 담당,1
사업 관리.기관 사업.기관사업 팀장,1
사업 관리.기관 사업.기관사업 담당자,1
사업 관리.컨설팅.컨설팅팀 SE경영컨설턴트,1
사업 관리.구매.구매자재관리 담당자,1
교육.교육.Learn Program Manager,1
교육.교육.IX팀 매니저,1
교육.교육.평화교육 담당자,1
교육.교육.청소년 교육 매니저,1
교육.교육.부모교육,1
교육.교육.국제이해교육/세계시민교육 사업 담당자,1
교육.교육.교육코디네이터,1
교육.교육.교육캠페인 담당자,1
교육.교육.교육서비스사업본부 운영매니저,1
교육.교육.교육사업팀 팀원,1
교육.교육.교육문화팀 팀원,1
교육.교육.교육개발 담당자,1
교육.교육.교육·컨설팅 사업 운영 및 지원 담당자,1
교육.교육.교육 운영 담당자,1
교육.교육.교육 및 컨설팅 사업 운영/관리 담당,1
교육.교육.교육 담당자,1
고객 관리.CS.CS,2
고객 관리.CS.해피콜 CS 담당자,2
고객 관리.CS.CS 스페셜리스트,1
고객 관리.CRM.CRM 전문가,1
고객 관리.CRM.CRM 매니저,1
고객 관리.CRM.CRM 마케터,1
고객 관리.고객 관리.고객경험 매니저,1
